thematic;card;id;bearer;reigning;conditions;lockturn;weight;question;power;faith;people;money;load;override_yes;answer_yes;yes;override_no;answer_no;no
start;first_card;1;throne;;dynasty=0;del;max;<i>Daenerys Stormborn of the House Targaryen, Mother of Dragons, the Iron Throne is yours.</i>;;;;;add_maester and maester>grand_maester;<i>Sit down</i>;;> and >>>_end_first;<i>Turn away</i>;;>_29 and >>>_end_first
start;_;28;hand;;;del;;I wouldn't do that, it's horribly prickly. If you fancy something less adventurous, the small council is starting...;;;;;;;Then you must allow me... <i>He leads you to the Tower of the Hand.</i>;>3;I need to see Drogon;;>_13
start;_;29;hand;;;del;;I spend half my days as Hand watching you pace around the throne, as if you fear it. Shall we try the small council instead?;;;;;;;Then you must allow me... <i>He leads you to the Tower of the Hand.</i>;>;I need to see Drogon;;>_13
start;;3;grand_maester;;;del;max;Welcome, Your Grace, to the first council of your reign. We are here to advise you, should you need us.;;;;;;Any news from the North?;;>;How tedious...;;>
start;_show_money;4;coins;;;del;;Winterfell is asking for more <*money*>. They keep complaining about their losses during the War of the Five Kings.;;;;-3;;For good reason;;>;We can't help them;;>
start;_show_people;5;hand;;;del;;Lady Sansa is loved by the <*people*>. A strong alliance with the North will benefit us.;;;3;;;You are right;;>;I doubt it;;>
start;_show_faith;6;septon;;;del;;Help us spread the <*faith*> of the Seven and we will make sure this alliance is well received.;;3;;;;Your help is appreciated;;>;I will consider it;;>
start;_show_power;7;spider;;;del;;I humbly advise you never to give any of your <*power*> to priests. They will turn it against you eventually.;3;;;;;Indeed...;;>;But they're useful...;;>
start;_;39;septon;;;del;;I heard that. My love for the Crown is as pure as the Maiden!;;;;;;I belie--;<i>A Gold Cloak storms into the small council room...</i>;>;You shou--;<i>A Gold Cloak storms into the small council room...</i>;>
start;_;40;goldcloak>helmet;;;del;;Forgive the interruption, Your Grace, but a mob is gathering outside the Keep!;;;;;;Disperse them;;>_squashbugs;What do they want?;;>
start;_;41;tyrion;;;del;;Shall we step outside and ask them? Let's adjourn the small council.;;;;;;;<i>You go to the gates to meet the crowd.</i>;>_meetpoor and set_kingslanding;No, send the Gold Cloaks;;>
start;_squashbugs;42;tyrion;;;del;;If you try to exterminate ants with wildfire, you might burn the castle down around you.;;;;;;You're right;<i>You go to the gates to meet the crowd.</i>;>_meetpoor and set_kingslanding;I insist;;
start;_meetpoor;43;crowd;;;del;;PRAISE DAENERYS! PRAISE DAENERYS ON HER NAME DAY!;-1;;1;;;<i>Wave and smile</i>;;>;<i>Calm the mob</i>;;>
start;_;44;tyrion;;;del;;If we must have a mob at our gates, I suppose this is the best sort. Happy Nameday, Daenerys Stormborn.;;;;;;Thank you;;;Don't be foolish;;
death;_end_first;1478;maester;daenerys;;del;max;My Queen! Forgive the sudden interruption, but we've received two urgent ravens. One is from the Wall, the other from Meereen!;;;;;;The Wall? Jon!;;> and wall;Meereen?;;> and !wall
death;_;1479;hand;daenerys;;;;Having read the messages, I must implore you to calm your dragon blood, not to act in haste...;;;;;add_raven;Let me read them;;>_message1;Silence!;;>_message1
death;_message1;1480;raven;daenerys;wall;del;max;<i>Jon Snow is missing beyond the Wall with half of our rangers. We have seen the Dead. Send help. -- Samwell Tarly</i>;;;;;!wall;I need to go;;>_message1;The fool;;>_message1
death;_message1;1481;raven;daenerys;!wall;del;max;<i>My Queen, Meereen has fallen. Traitors pound on the door as I write this. Will show them my finest hospitality. -- Daario Naharis</i>;;;;;wall;Meereen!;;>_message1;The fool;;>_message1
death;_message1;1482;drogon>open&yes;;;;10;<i>You steal through the darkness along a narrow passageway beneath the black cells.</i>;;;;;;DRACARYS!;<i>Something stirs inside Drogon! At your urgent command, he breaths a column of flame, destroying his chains.</i>;> and wakeupdrogon;Drogon!;<i>The dragon doesn't wake up.</i>;>_message1
death;_;1483;hand;;;;;No, stay! Please stay! Oh, you mad Dragon Queen, will you not heed my advice? If anything were to happen to you...;;;;;;I will be back;;>;I don't have a choice;;>
death;_;1484;hand;;;;;At least tell me, where are you going?;-8-7;;8-7;;;To the Wall;;>;To Meereen;;>
death;_;62;end>daenerys;;;;;<i>The Mother of Dragons never returned to King's Landing.</i>;;;;;;;;;;;
start;;1126;daenerys;jon;!jon_super and !has_daenerys;400;50+500;The crown suits you.;-1;;;;;It is yours if you want it;;>;Where have you been?;;>_1128
start;_;1127;daenerys;jon;;;;It was your destiny. I have an empire to build in Essos, an empire of free cities allied with the Dothraki.;;;;;;I need you;;>_1129;Then go;<i>Without any more word spoken between you, Daenerys leaves King's Landing that night.</i>;del_daenerys
start;_;1128;daenerys;jon;;;;Meereen needs me. I have an empire to build in Essos, an empire of free cities allied with the Dothraki.;;;;;;I need you;;>_1129;Then go;<i>Without any more word spoken between you, Daenerys leaves King's Landing that night.</i>;del_daenerys
start;_;1129;daenerys;jon;;;;No, you don't. You are the legitimate heir. You lead armies that would die for you. You are the only future for Westeros.;;;1;;jon_super;I need you, Daenerys;;>;But...;;>
start;_;1130;daenerys;jon;;;;You have my love, but you don't have my responsibilities. I will help you as much as I can.;1;;;;;Farewell then;<i>Without any more words spoken between you, Daenerys leaves King's Landing that night.</i>;del_daenerys;Don't leave ;<i>Without any more words spoken between you, Daenerys leaves King's Landing that night.</i>;del_daenerys
start;;1523;hand;jon;jon_super;400;40+50;If you marry Daenerys, your dynasty could become the most powerful in the history of the Seven Kingdoms and beyond!;-2+1;1;1;;;I plan to ask her;;>>;I can't;;
start;;1525;drogon>open;jon;!has_drogon;400;100+100;<i>Drogon lands on the Tower of the Hand in a whirlwind of dust and fire. He looks at you snarling angrily.</i>;;;;;add_daenerys;Drogon!;;>;Hum... Daenerys?;;>
start;_;1524;daenerys;jon;;;;Is it true what I've heard? That you want to marry me? I promised myself I'd never again belong to any man.;;-1;-1;;;To unite the world!;But we are allies already. <i>Daenerys shakes her head.</i> You don't know anything, do you? ;;Because I love you;<i>She gives a rare, pure smile.</i> Then I will accept, but only after we win our final war against the dead.;marrydaenerys
;;1526;daenerys;jon;marrydaenerys and summer;400;10000;Jon, my love, we've managed to survive winter. Today we will wed in front of the people of Westeros.;pos;pos;pos;pos;;;;>;I can't;;
;_;1527;maester;jon;;;;We shall organise the most dazzling wedding ever seen. Should we have a tourney as well?;1;-1;1;-2;;;;>>>_startturney;I want a simple day;;
start;entryrecruit;535;jon;daenerys;!has_jon and dynasty>0;del;20+300;Daenerys! I came directly from Winterfell. The situation in the North is dire and requires your urgent attention.;-1;;1-1;;;What happened?;;>_537;Don't call me that;;>
start;_;536;jon;;;;;I... My apologies, Your Majesty.;;;1-1;;;Please proceed;;>;Don't forget who I am;;>
start;_;537;jon;;;;;The Night's Watch spotted wights beyond the Wall. The north is in turmoil despite Sansa's efforts.;;;-1;;;I'm busy here;;>;What do you suggest?;;>
start;_;538;jon;;;;;Chasing Cersei from the Iron Throne was an unnecessary distraction. We need your support.;1;;;;;Is that all?;<i>Jon takes you aside. He grasps your hand. He's pale and shaking.</i>;>;You're unfair;<i>Jon takes you aside. He grasps your hand. He's pale and shaking.</i>;>
start;_;547;jon;;;;;In Winterfell, Bran told me troubling things about my birth. He says we're related. He says you're aware... Does it mean...;;-1;;;;We need to be discreet;;>;I loved you;;>_549
start;_;548;jon;;;;;<i>Smiling.</i> We will. I have to go back to Winterfell now. Be safe.;;;;;jonheir_keep;I will miss you;;del_jon;No, wait...;;>_1024
