tag;title;description;alwayshowcard;length;faith;power;people;money;custom
jon_super;King Crow;No one will doubt your authority or your honor, even if you hoard as much <*power*> as possible.;;;;;;;
daenerys_super;Dracarys;Drogon is awake! The great Houses are afraid of him. The <*people*>'s love is no longer a threat to your throne.;;;;;;;
riders_super;Dragon riders;Rhaegal is mounted and flies alongside Drogon. Many see you as the last chance to protect the realm against the White Walkers.;;;;;;;
cersei_super;Baelor's bane;The Great Sept of Baelor has been destroyed. The Faith Militant cannot return, no matter how poorly you treat the institution of <*faith.*>;;;;;;;
machines_super;War machines;By stabilizing wildfire, you managed to create the most formidable war machines the world has ever known.;;;;;;;
tyrion_super;Debtless;Your expertise with money is such that you will always find a way to replenish the <*treasury*>.;;;;;;;
trap_super;The Trap;You've hidden all the wildfire in the Seven Kingdoms under the ice at the Gods Eye. The lake is the largest trap ever made.;;;;;;;
sansa_super;The North Remembers;Your bannermen will support your claim to the throne, no matter the situation. You will not die because you lack <*power*>.;;;;;;;
one_super;One Kingdom;You have united all the Kingdoms of Westeros behind your rule, through cunning and leadership.;;;;;;;
valyrian_super;Valyrian Dust;You have produced a myriad of Valyrian blades and arrowheads, thanks to the formula you have unearthed.;;;;;;;
jaime_super;The Faithful;You will not die by the hand of your lover when you have too much <*money*>. Is it honor, or the memory of Cersei?;;;;;;;
lightbringer_super;The Sword;The people of Westeros are convinced that you are the legendary Azor Ahai. By not denying this belief you manage to unite the Seven Kingdoms.;;;;;;;
gendry_super;Bastard King;The <*people*> of Westeros consider you as one of their own. They will not overthrow you, even if you mistreat them.;;;;;;;
horn_super;Horn of Winter;Blow the Horn of Winter to wake up giants from deep in the earth and lay waste to the Night King's armies.;;;;;;;
arya_super;Faceless;Though the people are troubled by heathens and other crises of <*faith*>, you remain untouchable. No assassin dares approach you.;;;;;;;
alliance_super;The Pact;You have forged the strongest of alliances between the North and the Southron Kingdoms. All Westeros rallies behind you.;;;;;;;
dragonglass_super;Dragonglass;You have mined ten thousand dragonglass daggers and arrowheads. The weapons are distributed among your allies. ;;;;;;;
summer;Summer;Twelve moons later, summer is back. The Seven Kingdoms slowly emerge from under the snow as your story becomes a legend.;1;;;;;;
winter;Winter;Winter will last a generation. When the storm rages, the result of your decisions on the <*people*> will be dramatic, and horrors will follow.;;;;;;;
noironbank;Bankruptcy;You've lost the support of the Iron Bank, and the resulting inflation creates a much bigger impact on your <*money*>.;1;;;;;;
nohand;Anarchy;Without a Hand to support you in affairs of state, decisions surrounding your <*power*> have a greater impact.;1;;;;;;
faithmilitant;Faith militant;The resurgence of religious fanatics has led to volatility. You'll see greater impacts when making decisions that affect the <*faith*>.;1;;;;;;
facedetect_keep;In the eyes;If you can trust someone, they'll look straight into your eyes. Beware those who cannot.;;;;;;;
dreamloop;Intricate visions;You lose yourself in the flames, as if you never existed, as if you are yourself another reflection. You see a huge figure looming over you.;1;;;;;;
