thematic;card;id;bearer;sign;conditions;lockturn;weight;question;override_yes;answer_yes;yes_church;yes_kingdom;yes_people;yes_economy;yes_custom;override_no;answer_no;no_church;no_kingdom;no_people;no_economy;no_custom;load_custom;vide
duel;_duel_won;345;owl;;;;;You fired at the perfect time! Your win shall be told in a future rhyme!;Yessss!;;;;;;;It was nothing;;;;;;;mus_stop;
duel;_duel_die;346;owl>super;;;;;Alas, you fired your arm too slow! Your enemy wins with a well-timed blow!;What...;;-100;-100;-100;-100;>_end_statue;What...;;-100;-100;-100;-100;>_end_statue;;
duel;_duel_missed;347;owl>super;;;;;Alas, you fired your arm too quick! Now in that stance, you're doomed to stick!;What...;;-100;-100;-100;-100;>_end_statue;What...;;-100;-100;-100;-100;>_end_statue;;
duel;_duel_toolate;1306;owl;;!tutoduel;;;Alas, you fired your arm too slow! Go ahead, give it another go!;;;;;;;>_startduel_tuto;Enough;;-5;-5;-5;-5;tutoduel;mus_stop;
duel;_duel_toolate;1307;owl>super;;tutoduel;;;You cannot finish what you don't begin. You made no move, so your enemy wins!;What...;;-100;-100;-100;-100;>_end_statue;What...;;-100;-100;-100;-100;>_end_statue;;
deaths;_end_statue;348;end>statue;;;;;<i>The owl transforms you into one of the duel room's statues. Now you, too, will watch over this chamber forever...</i>;;;;;;;;;;;;;;;;
intro;first_card;115;king;;dynasty=1;del;max;What a splendid wedding that was! How does it feel to be my <*Queen*>?;Great;;;;;;>;I don't even know you;;;;;;>;add_comtesse;
intro;_;135;king;;;;;You'll get used to it. My mom did! And you'll have <comtesse> to train you up. See you later!;Okay;;;;;;>;Ughh;;;;;;>;;
intro;_;137;comtesse;;;;;My, how young the new Queen is! It would honor me if you would call me 'mother'...;Pardon?;;;;;;>;No!;;;;;;>;;
intro;_comtintro;138;comtesse;;;;;Of course! Just <comtesse> is fine. It is my privilege to teach you how to balance court life.;Balance?;;;;;;>;Yeah, yeah;;;;;;>;;
