tag;type;title;description;length;church;kingdom;people;economy;custom
clearperfume;perfume;Royal Perfume;The charming scent of royalty. May win some people's hearts.;;;;;;
dataresults;perfume;Your Results;A constellation of metadata about you is stored here.;;;;;;
pistol;weapon;Duel Pistol;A jewel-studded ceremonial pistol, made for launching poetic duels.;;;;;;
flintlock;weapon;Lethal Pistol;A river pirate has traded your ornamental pistol for a serious flintlock.;;;;;;
squirtgun;weapon;Gun Emoji;It's not a real gun, but some courts have ruled that gun emojis still constitute threats.;;;;;;
clock;mechanical;Strange Clock;A beautiful embellished clock with intricate parts designed in a Western pattern. It's in need of restoration.;;;;;;
advancedclock;mechanical;Destiny Clock;A beautiful embellished clock. Turning its gears in the right location can allow you to change your astrological destiny...;;;;;;
creditcard;mechanical;Destiny Card;This magic card can enrich the present at the expense of the future.;;;;;;
chickenbone;relic;Chicken Bone;It looks like it's the leg bone of a small chicken. It's a little crooked.;;;;;;
enameledbone;relic;Saint's Bone;The chicken bone has been recognized by the Golden Church as a holy relic. ;;;;;;
sacredtablet;relic;Sacred Tablet;It's a creepy glass tablet device. For some reason, you can't stop touching and checking it.;;;;;;
blankspellbook;spellbook;Blank Spellbook;A mysterious book given to you in a vision. It's entirely blank.;;;;;;
redspellbook;spellbook;Red Spellbook;The book turned red when the acolyte marked it! You notice impressions of animals in the leather cover.;;;;;;
eclipsebook;spellbook;Celestial Spellbook;The All-Mother herself has marked your book. It's now dark, with a sun and moon design.;;;;;;
redplague_reign;special;Red Plague;The kingdom is silently succumbing to the ravages of the Red Plague.;;;;-1*;-1*;
statue;special;Partnership Monument;The Queen of the Northwest has promised you her support in a crisis.;;;;;;
wonderhall;special;Hall of Wonders;A priceless collection gathered by the Explorers Society. It's all in your honor.;;;;;;
philocentre;special;Center for Philosophy;A widely-regarded hall of philosophical study and enlightenment.;;;;;;
