bearer;id;exclusive;conditions;lockturn;weight;custom;court;antagonists;unhappy;faith;power;people;money
anyone;-1;;;;;kingslanding;maester>grand_maester and throne and soldier and crowd and nobleman and handmaiden and kingsguard and arryn_male and goldcloak and courtesan and banker and septa and commoner_male and commoner_female and raven and blacksmith and kirsten and tyrell_female and tully_male and martell_female and melisandre and little_bird and cook and crow;;;;;;
daenerys;0;x;dynasty=0;del;max;brothel;maester>grand_maester and throne and crowd and soldier and goldcloak and varys>spider and tyrion>hand and lannister_male>coins and septon>high_septon and drogon and septa and commoner_male and raven and little_bird;cersei and greyjoy;;50;50;50;50
daenerys;3;;;;;set_trone;varys>spider and tyrion>hand and lannister_male>coins and septon>high_septon and unsullied and dothraki and drogon and knight;lannister and greyjoy;lannister_male and cersei and jaime and sam and handmaiden;50;50;50;50
cersei;1;;;;10;set_godseye;greyjoy_male>hand and arryn_male>coins and pyromancer>coins and sellsword and cat and courtesan and lannister_soldier and septa and knight and lannister_male;stark and tyrion and dothraki and unsullied and tyrell;stark_male and sansa and jaime and tyrion and septa and septon and martell_female;30;70;30;70
cersei;1;;;;10;set_godseye;greyjoy_male>hand and arryn_male>coins and pyromancer>coins and sellsword>spider and cat and courtesan and lannister_soldier and septa and lannister_male;stark and tyrion and dothraki and unsullied and tyrell;stark_male and sansa and jaime and tyrion and septa and septon and martell_female;30;70;30;70
sansa;2;;;;;set_forest;varys>spider and tyrion>hand and septon>high_septon and freefolk and crow and stark_male>coins and knight;cersei and greyjoy and lannister;cersei and jaime and greyjoy and kirsten;30;50;70;30
jon;4;;;;10;set_hills;tyrion>coins and varys>spider and sam>hand and septon>high_septon and crow and cat and jaime and sansa and freefolk and knight;greyjoy and cersei;lannister_male and arryn_male and septon;40;60;60;50
jon;4;;;;10;set_hills;tyrion>coins and varys>spider and sam and septon>high_septon and crow and cat and jaime and sansa and freefolk and knight;greyjoy and cersei;lannister_male and arryn_male and septon;40;60;60;50
jaime;5;;;;;set_maproom and brothel;varys>spider and tyrion>hand and septon>high_septon and crow and courtesan and arryn_male>coins and pyromancer and knight and lannister_soldier;dothraki;tully_male and stark_male and septon and septa and martell_female;40;70;30;70
arya;6;;seen_gendry;;10;del_blacksmith and set_dungeon and arya>lannister;lannister_male>coins and greyjoy_male>hand and crow and cersei and cat and gendry and pyromancer>spider and dungeon;dothraki and unsullied and stark;stark_male and jaime and tyrion and martell_female and kirsten;50;60;30;70
arya;6;;!seen_gendry;;10;set_dungeon and arya>lannister;lannister_male>coins and greyjoy_male>hand and crow and cersei and cat and pyromancer>spider and dungeon and blacksmith and knight;dothraki and unsullied and stark;stark_male and jaime and tyrion and martell_female and kirsten;50;60;30;70
gendry;7;;;;;del_blacksmith and set_tavern and brothel;septon>high_septon and sansa and commoner_female>spider and militant and courtesan and freefolk and tyrion and tully_male>coins and sam and stark_male>hand and arya and knight;greyjoy and lannister;courtesan and melisandre and banker;70;40;60;50
tyrion;8;;;;15;set_kingslanding;septon and varys>spider and jaime>hand and crow and sam and lannister_male and pirate and freefolk and courtesan>coins and lannister_soldier;cersei and greyjoy;septa and septon and lannister_male and martell_female;40;70;30;60
tyrion;8;;;;5;set_kingslanding;septon and varys>spider and jaime>hand and crow and sam and lannister_male and pirate and freefolk and lannister_soldier and courtesan>coins;cersei and greyjoy;septa and septon and lannister_male and martell_female;40;70;30;60
commander;9;x;;;;set_tavern;crow and commoner_male and commoner_female and courtesan and freefolk and walker and forest_child and raven;;;50;50;50;50
