thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_cash;yes_team;yes_market;yes_capital;yes_custom;override_no;answer_no;no_cash;no_team;no_market;no_capital;no_custom
endings;end_cash_zero;900;财务总监;cash=0;;1000000;账上还有八万六。今天要付的工资是三百一十万。;我知道了;那我去通知大家吧。;;;;;end_破产清算;还有别的办法吗;没有了。我从三个月前就开始说了。;;;;;end_破产清算
endings;end_cash_max;901;董事长;money=100;;1000000;账上趴着十一个亿，两年没动过。你打算什么时候花？;明年吧;董事会等不到明年了。;;;;;end_守财奴;我在等时机;时机是等出来的，还是做出来的？;;;;;end_守财奴
endings;end_team_zero;902;人事总监;team=0;;1000000;今天最后三个人办完离职。整层楼只剩你和我。;那你呢;我的信也在你桌上。;;;;;end_人去楼空;总会有人来;招聘启事挂了七个月，没人投。;;;;;end_人去楼空
endings;end_team_max;903;财务总监;team=100;;1000000;两千一百人。上季度人力成本吃掉了全部毛利，还超了四千万。;养得起;养不起。这是数学，不是态度。;;;;;end_大锅饭;谁都不能动;那就一起等着发不出工资。;;;;;end_大锅饭
endings;end_market_zero;904;市场总监;market=0;;1000000;官网昨天的访问量是十七。其中十四个是我们自己人。;还有三个;那三个是爬虫。;;;;;end_无人问津;做点活动;活动预算上个月就停了。;;;;;end_无人问津
endings;end_market_max;905;交付负责人;market=100;;1000000;在手订单排到二十八个月后。客户开始集体索赔了。;继续接;签一单，赔两单。;;;;;end_爆单崩盘;先停一停;停不了。合同都签了。;;;;;end_爆单崩盘
endings;end_capital_zero;906;董事长;capital=0;;1000000;刚才那个会你没参加。七个董事，七票通过。;通过什么;换人。今天下午交接。;;;;;end_一致行动;我要申辩;流程走完了。这是通知，不是商量。;;;;;end_一致行动
endings;end_capital_max;907;董事长;capital=100;;1000000;下个月八号敲钟。你的股份解禁期，我们帮你谈到了最短。;这是让我走;这是让你体面地走。;;;;;end_功成身退;我不卖;那就等六个月后被动减持，一样的结果，难看一点。;;;;;end_功成身退
split;split_01;100;联合创始人;dynasty>1 and !split_done_keep;del;40;刚才的会上我说了反对。我是故意让所有人都听见的。;当众打我脸;我打的是这个方案的脸。;;-5;;-5;>;私下说不行吗;私下说了四次了。这是第五次。;;5;;-10;>
split;split_02;101;联合创始人;;;;这半年我们每个决策都要吵。你不觉得我们已经不是一路人了吗？;是我变了;不。是公司变了，你跟着变了，我没跟上。;;;;;>;还能磨合;磨合的意思是，总有一个人要闭嘴。;;;;;>
split;split_03;102;人事总监;;;;下面开始站队了。技术那边跟他，销售这边跟你。中层在观望。;各自带队;那就是两家公司挂一个招牌。;;;;;>_split_faction;必须表态;表态的意思是，另一半人明天递辞呈。;;;;;>_split_faction
split;split_faction;103;联合创始人;;;;我想要多百分之八的股份。或者，你走。;给你;八个点，加上你原来的，你就是第一大股东了。;;;;-15;>_split_deal;我不走;那就董事会上见。看他们信谁。;;-5;;-10;>_split_board
split;split_deal;104;董事长;;;;你把控制权让出去了。我们需要知道，明天开始谁说话算数。;还是我;文件上不是这么写的。;;;;;>_split_puppet;他说了算;那我们和他谈就行了。你可以先回去。;;;;;>_split_puppet
split;split_puppet;105;联合创始人;;;;从今天起，重大事项我签字就行。你还有别的事吗？;没有;那就这样。;;-5;-5;-5;split_done_keep and split_lost_keep and >_split_end_puppet;这是我的公司;曾经是。;;-10;;-5;split_done_keep and split_lost_keep and >_split_end_puppet
