thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_money;yes_team;yes_market;yes_mind;yes_custom;override_no;answer_no;no_money;no_team;no_market;no_mind;no_custom
open;op_start;1;;turn<=1;del;max;三个人，一间三十平的房子，账上十七万。你想先做什么？;先做出来;那三个月你们没见过白天。;;8;;8;builder_keep;先去卖;第一个客户是你大学同学，他给了八千。;8;;10;;seller_keep
start;st_name;10;联合创始人;phase=1;del;60;公司叫什么？我想了三个，都挺土的。;我早想好了;你写在白板上，没人敢说不好。;;;;6;;你们定;他们投票选了最土的那个。;;6;;-6;
start;st_firsthire;11;联合创始人;phase=1;del;70;有个人愿意来，但只肯拿一半工资，要双倍股份。;给股份;三年后这个人成了你们的技术负责人。;4;10;;;bet_person_keep;给工资;他去了大厂，现在偶尔还聊。;-10;;;-5;
start;st_office;12;;phase=1;del;60;可以搬进孵化器，免租一年。但要挂他们的牌子。;搬;免的那一年房租，是你们当年全部的钱。;10;;;-8;;不搬;房东说押一付三，你刷了三张卡。;-14;;;6;
start;st_firstclient;13;客户;phase=1;del;75;这个功能我们要，但价格得砍一半。;砍;签的时候你手在抖。;;;10;-6;cheap_keep;不砍;他两周后又回来了，按原价。;;;6;6;
start;st_copy;14;联合创始人;phase=1;del;65;有个现成的开源方案，改改就能用。要自己写吗？;自己写;多花了七周，但后来那部分谁也没动过。;-8;;;8;builder_keep;改现成的;上线快了七周。半年后为了它重写了两次。;;;7;-8;
start;st_investor_no;15;投资人;phase=1;del;65;你们这个东西，市场太小了。我不投。;记下来;三年后他发来一条消息，说当年看错了。;;;;7;proved_keep;问为什么;他讲了四十分钟，其中两点你后来发现他说对了。;;;4;-6;
start;st_parents;16;;phase=1;del;55;你爸问你什么时候找个正经工作。;这就是正经工作;他没再问，但每个月给你转两千。;4;;;4;;先不说;你说项目挺顺利的。;;;;-6;
start;st_nosalary;17;联合创始人;phase=1 and money<45;del;70;这个月工资我不拿了，你也别拿。;都不拿;那两个月你们靠他妈寄的腊肉过来的。;8;7;;;together_keep;我拿一半;他什么也没说，照常上班。;-6;-6;;;
start;st_bug;18;客户;phase=1;del;60;凌晨了，你们那个东西又崩了。;自己去修;你四点修好，五点给他发了消息。;;;7;6;;明天处理;他第二天没回，第三天退了款。;-6;;-10;;
