thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_cash;yes_team;yes_market;yes_capital;yes_custom;override_no;answer_no;no_cash;no_team;no_market;no_capital;no_custom
endings;end_cash_zero;900;财务总监;cash=0;;1000000;账上还有八万六。今天要付的工资是三百一十万。;我知道了;那我去通知大家吧。;;;;;end_破产清算;还有别的办法吗;没有了。我从三个月前就开始说了。;;;;;end_破产清算
endings;end_cash_max;901;董事长;money=100;;1000000;账上趴着十一个亿，两年没动过。你打算什么时候花？;明年吧;董事会等不到明年了。;;;;;end_守财奴;我在等时机;时机是等出来的，还是做出来的？;;;;;end_守财奴
endings;end_team_zero;902;人事总监;team=0;;1000000;今天最后三个人办完离职。整层楼只剩你和我。;那你呢;我的信也在你桌上。;;;;;end_人去楼空;总会有人来;招聘启事挂了七个月，没人投。;;;;;end_人去楼空
endings;end_team_max;903;财务总监;team=100;;1000000;两千一百人。上季度人力成本吃掉了全部毛利，还超了四千万。;养得起;养不起。这是数学，不是态度。;;;;;end_大锅饭;谁都不能动;那就一起等着发不出工资。;;;;;end_大锅饭
endings;end_market_zero;904;市场总监;market=0;;1000000;官网昨天的访问量是十七。其中十四个是我们自己人。;还有三个;那三个是爬虫。;;;;;end_无人问津;做点活动;活动预算上个月就停了。;;;;;end_无人问津
endings;end_market_max;905;交付负责人;market=100;;1000000;在手订单排到二十八个月后。客户开始集体索赔了。;继续接;签一单，赔两单。;;;;;end_爆单崩盘;先停一停;停不了。合同都签了。;;;;;end_爆单崩盘
endings;end_capital_zero;906;董事长;capital=0;;1000000;刚才那个会你没参加。七个董事，七票通过。;通过什么;换人。今天下午交接。;;;;;end_一致行动;我要申辩;流程走完了。这是通知，不是商量。;;;;;end_一致行动
endings;end_capital_max;907;董事长;capital=100;;1000000;下个月八号敲钟。你的股份解禁期，我们帮你谈到了最短。;这是让我走;这是让你体面地走。;;;;;end_功成身退;我不卖;那就等六个月后被动减持，一样的结果，难看一点。;;;;;end_功成身退
pressure;risk_cash_low;920;财务总监;cash<18 and cash>0 and !risk_cash_run and turn>1;del;6000;周五发工资还差两百万。现在只剩借钱，或者停掉一个项目。;借钱;钱能到账，签字权要给出去。;22;;;-15;risk_cash_run and debt_keep and nb_capital_grip+;停项目;项目停了，客户和团队都会知道。;15;-10;-8;;risk_cash_run

pressure;risk_cash_high;921;董事长;cash>82 and cash<100 and !risk_cash_run and turn>1;del;6000;账上的钱够撑三年，市场窗口却在关。今天必须投出去一笔。;投产品;至少是在买未来。;-20;5;10;;risk_cash_run;买家公司;买来的团队未必听你的。;-25;-5;;10;risk_cash_run
pressure;risk_team_low;922;人事总监;team<18 and team>0 and !risk_team_run and turn>1;del;6000;再走五个人，核心系统就没人会修了。;全员加薪;这能留住人，也会掏空账。;-15;22;;;risk_team_run;只留骨干;其他人会知道自己不在名单上。;;15;-8;-5;risk_team_run
pressure;risk_team_high;923;财务总监;team>82 and team<100 and !risk_team_run and turn>1;del;6000;工资已经吃掉全部毛利。再不减人，下个月就发不出来。;裁一批;名单今晚就会传开。;10;-22;;8;risk_team_run;停招聘;只能慢一点，不能不减。;5;-15;-5;;risk_team_run
pressure;risk_market_low;924;市场总监;market<18 and market>0 and !risk_market_run and turn>1;del;6000;再丢两家客户，销售就可以回家了。;降价;先把人留下再说。;-10;;22;;risk_market_run;押新产品;这是最后一笔试错的钱。;-15;-5;18;;risk_market_run
