thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_cash;yes_team;yes_market;yes_capital;yes_custom;override_no;answer_no;no_cash;no_team;no_market;no_capital;no_custom
pressure;risk_cash_low;920;财务总监;cash<18 and cash>0 and !risk_cash_run and turn>1;del;6000;周五发工资还差两百万。只能借钱，或者停项目。;去借;工资能发了，董事会拿走了一部分签字权。;22;;;-12;risk_cash_run and debt_keep;停项目;钱省下了，项目组今天就散。;15;-10;-8;;risk_cash_run
pressure;risk_cash_high;921;董事长;cash>82 and cash<100 and !risk_cash_run and turn>1;del;6000;账上钱很多，但市场窗口只剩一个月。投哪边？;押新产品;钱花出去了，新产品有人期待。;-20;5;10;;risk_cash_run;买下竞对;对手少了一个，新团队未必服你。;-25;-5;;10;risk_cash_run
pressure;risk_team_low;922;人事总监;team<18 and team>0 and !risk_team_run and turn>1;del;6000;再走五个人，系统就没人会修了。怎么留？;全员加薪;人暂时留下，现金少了一截。;-15;22;;;risk_team_run;只留骨干;骨干留下，其他人知道自己被放弃。;;15;-8;-5;risk_team_run
pressure;risk_team_high;923;财务总监;team>82 and team<100 and !risk_team_run and turn>1;del;6000;工资已经吃掉全部利润。今天必须减人。;裁一批;现金缓过来，名单今晚就会传开。;10;-22;;8;risk_team_run;停招聘;人少得慢一些，问题没有消失。;5;-15;-5;;risk_team_run
pressure;risk_market_low;924;市场总监;market<18 and market>0 and !risk_market_run and turn>1;del;6000;再丢两家客户，销售就没活了。怎么办？;直接降价;客户回来了，利润更薄。;-10;;22;;risk_market_run;赌新产品;花掉最后一笔钱，换一次翻盘。;-15;-5;18;;risk_market_run
pressure;risk_market_high;925;交付负责人;market>82 and market<100 and !risk_market_run and turn>1;del;6000;订单已经接不过来。再签一单，全部都要延期。;暂停接单;销售会骂，交付终于能喘气。;;;-20;-5;risk_market_run;找人外包;单子能做，钱和口碑交给别人。;-15;-8;-15;;risk_market_run
pressure;risk_capital_low;926;董事长;capital<18 and capital>0 and !risk_capital_run and turn>1;del;6000;董事会差一票就能换掉你。拿什么换支持？;交预算权;你保住位置，也交出一部分权力。;;-5;;22;risk_capital_run;找联创;他愿意帮你，但会记住这次人情。;;8;;15;risk_capital_run
pressure;risk_capital_high;927;法务;capital>82 and capital<100 and !risk_capital_run and turn>1;del;6000;董事会已经能绕过你做决定。今天收回哪项权力？;收人事权;团队重新听你，董事会很不高兴。;;5;;-20;risk_capital_run;收预算权;钱归你管，董事长把这当成宣战。;-5;;;-22;risk_capital_run

episode_market;ep_price_open;1000;市场总监;turn<=10 and !slot_market_run;del;120;竞对把价格砍了一半。我们跟不跟？;跟到底;订单能保住，利润会先没。;-12;;15;;slot_market_run and price_fight_run;不跟价;钱保住了，客户可能会走。;5;;-8;;slot_market_run and price_hold_run
episode_market;ep_price_fight;1001;大客户;price_fight_run and turn>=6;del;180;价格战打赢了。以后也按这个低价续约，行吗？;认低价;客户留下，我们以后少赚钱。;-10;;10;;low_price_keep;涨回去;利润回来了，一批客户走了。;8;;-10;;
episode_market;ep_price_hold;1002;市场总监;price_hold_run and turn>=6;del;180;你没降价。最大的客户今天投了竞对。;花钱抢回;客户回来了，代价是一笔补贴。;-10;;12;;;让他走;钱省下了，市场少了一块。;5;;-10;;

episode_market;ep_buy_open;1010;董事长;turn<=10 and !slot_market_run;del;120;一家小竞对撑不住了，开价两千万。买不买？;买下来;客户和团队一起买进来，现金先出去。;-15;5;10;5;slot_market_run and buy_rival_run;等他倒;一分钱不花，但别人也在等。;5;;-5;;slot_market_run and wait_rival_run
episode_market;ep_buy_done;1011;竞对创始人;buy_rival_run and turn>=6;del;180;公司卖给你可以。工程师要跟我走。;加钱留人;人留下了，收购价又高一截。;-12;15;;;acquired_team_keep;只要客户;客户归你，做产品的人走了。;5;-12;12;;
episode_market;ep_buy_wait;1012;市场总监;wait_rival_run and turn>=6;del;180;那家公司没倒，被大集团买走了。新老板开始挖我们的客户。;正面开战;市场声量回来了，现金烧得更快。;-12;;12;;;守老客户;老客户稳住，新市场让给了他们。;5;;-8;;

episode_market;ep_live_open;1020;市场总监;turn<=10 and !slot_market_run;del;120;头部主播愿意今晚卖我们的货，抽成四成。上不上？;今晚就上;曝光会暴涨，利润会很薄。;-8;-5;15;;slot_market_run and live_go_run;不做直播;现金不动，这波流量归竞对。;5;;-8;;slot_market_run and live_skip_run
episode_market;ep_live_boom;1021;仓库主管;live_go_run and turn>=6;del;180;直播爆单了。仓库里的货只够发一半。;借货发完;订单保住了，欠供应商一大笔。;-12;-8;15;;delivery_debt_keep;马上停售;少赔一点，也当众浇灭热度。;5;5;-12;;
episode_market;ep_live_skip;1022;市场总监;live_skip_run and turn>=6;del;180;竞对上了那场直播，一夜卖空。;买广告追;声量追回一点，钱先花出去。;-10;;10;;;随他去;钱还在，热度不在。;5;;-8;;

episode_market;ep_exclusive_open;1030;大客户;turn<=10 and !slot_market_run;del;120;我预付一年货款。条件是，你只能卖给我。;签独家;钱今天到账，其他客户会被挡在门外。;15;;8;-5;slot_market_run and exclusive_run;不签;自由保住了，钱不会到账。;-5;;-5;5;slot_market_run and exclusive_refuse_run
episode_market;ep_exclusive_signed;1031;第二大客户;exclusive_run and turn>=6;del;180;我看见独家公告了。今天解约，还是给我同价？;也给低价;客户留下，两份合同一起压利润。;-10;;12;;exclusive_keep;让他解约;独家客户高兴，市场更单一。;5;;-12;5;exclusive_keep
episode_market;ep_exclusive_refused;1032;市场总监;exclusive_refuse_run and turn>=6;del;180;你拒绝了独家。那位大客户转头投了竞对。;降价反击;客户开始比较价格，现金先受伤。;-10;;10;;;守住价格;利润没动，市场被拿走一块。;8;;-10;;

episode_market;ep_product_open;1040;技术总监;turn<=10 and !slot_market_run;del;120;停掉老产品，全押新产品。敢不敢？;全押新的;团队有了目标，老客户会着急。;-10;8;8;;slot_market_run and product_bet_run;两个都做;客户都照顾，团队要做两份活。;-8;-10;5;;slot_market_run and product_both_run
episode_market;ep_product_bet;1041;老客户;product_bet_run and turn>=6;del;180;听说老产品要停。我们下个月就要续约。;延长维护;老客户稳住，新产品慢下来。;-8;-5;12;;old_product_keep;按时停掉;新产品更快，老客户开始找下家。;5;5;-12;;old_product_keep
episode_market;ep_product_both;1042;技术总监;product_both_run and turn>=6;del;180;两条产品线一起赶，团队已经连熬九天。;砍掉老线;人能喘气，老客户要走。;5;8;-10;;;推迟新品;团队能休息，市场窗口会关。;5;8;-8;;

episode_people;ep_founder_open;1100;联合创始人;turn>=4 and !slot_people_run;del;150;我在全员群里说，公司现在不懂产品。你要我删吗？;现在删;消息会消失，截图不会。;;-8;;5;slot_people_run and founder_delete_run;当面开会;所有人都会看见我们站哪边。;;5;;-8;slot_people_run and founder_meeting_run
episode_people;ep_founder_deleted;1101;人事总监;founder_delete_run and turn>=13;del;180;消息删了，截图却传遍公司。联创今天没来。;停他的职;你拿回权力，也会失去一批人。;;-12;;10;founder_split_keep and nb_lost_tech+;当没发生;他会把沉默当成胜利。;;5;;-8;founder_grudge_keep
episode_people;ep_founder_meeting;1102;联合创始人;founder_meeting_run and turn>=13;del;180;会上我只问一句：大家信产品，还是信老板？;让大家投;你赢了票，团队也正式分成两边。;;-10;;10;founder_split_keep;结束会议;争吵停了，问题还在。;;5;;-5;founder_grudge_keep

episode_people;ep_nephew_open;1110;董事长;turn>=4 and !slot_people_run;del;150;我侄子下周来当副总。你把他放哪个部门？;让他入职;董事长满意，团队会盯着你。;;-8;;12;slot_people_run and nephew_hired_run;当场拒绝;团队松口气，董事长记住了。;;8;;-12;slot_people_run and nephew_refused_run
episode_people;ep_nephew_hired;1111;人事总监;nephew_hired_run and turn>=13;del;180;他入职第三天，就把你的周报直接发给董事长。;收回权限;团队知道谁是老板，董事长很不高兴。;;8;;-12;chairman_nephew_keep;先忍着;董事长满意，你的命令开始绕道。;;-8;;10;chairman_nephew_keep
episode_people;ep_nephew_refused;1112;财务总监;nephew_refused_run and turn>=13;del;180;董事长没再提侄子。今天也没签你的预算。;去道歉;预算过了，你欠他一次。;8;;;8;;找别的票;钱还卡着，董事会开始站队。;-8;;;-8;

episode_people;ep_layoff_open;1120;投资人;turn>=4 and !slot_people_run;del;150;本周裁三十人，下一笔钱就到账。签不签？;签名单;钱会来，名单也会传开。;15;-15;;8;slot_people_run and layoff_signed_run;不要这笔钱;人保住了，工资只够一个月。;-12;10;;-8;slot_people_run and layoff_refused_run
