thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_cash;yes_team;yes_market;yes_capital;yes_custom;override_no;answer_no;no_cash;no_team;no_market;no_capital;no_custom
daily;d_supplier_01;500;供应商;;40;10;老王家的货，这个月能不能先结一半。;结;那我下个月还按老价格给你。;-10;;5;;;下个月;行，我等。;8;;-5;;
daily;d_supplier_02;501;采购经理;;60;10;新来的供应商报价低两成。但没做过我们这个行业。;换;省下来的钱一年是四百万。;12;;-5;;;不换;老王合作七年了，一次没出过问题。;;;5;;
daily;d_supplier_03;502;采购经理;;80;8;有个供应商想请我吃饭。他明说了，是想谈谈明年的量。;去;吃饭而已。;5;;;-5;;不去;那他会觉得我们不给面子。;;;;;
daily;d_finance_01;503;财务总监;;50;12;这个月的发票能不能晚点开。开了就要交这个季度的税。;晚开;客户那边催了三次了。;8;;-5;;;按时开;那这个季度的税是六百万。;-10;;;5;
daily;d_finance_02;504;财务总监;;70;10;年会预算，去年是八十万。今年要不要照旧。;照旧;下面盼一年就盼这个。;-10;12;;;;砍掉;砍了能省八十万。也能省掉不少笑脸。;10;-12;;;
daily;d_finance_03;505;财务总监;;90;8;有人拿了一张两万三的餐费票来报销。上面是七个人的名字。;报;那以后都这么报。;;5;;-5;;不报;那这事今天就会传遍公司。;;-5;;5;
daily;d_hr_01;506;人事总监;;40;12;技术那边有个人要涨薪。他说外面给的是我们的一倍半。;涨;那其他人也会来问。;-10;12;;;;不涨;他大概两周内就会走。;5;-10;;;
daily;d_hr_02;507;人事总监;;50;12;绩效考核要不要按比例强制分布。总得有人拿 C。;强制;那团队里就要有人当垫背的。;;-10;;8;;不强制;那考核就没意义了，大家都是 B。;;8;;-5;
daily;d_hr_03;508;人事总监;;60;10;有个员工怀孕了。她是这个项目的核心。;正常休;那项目要延期两个月。;;12;-5;;;调整下;调整的意思是，换人？;;-15;;;
daily;d_hr_04;509;技术总监;;70;10;下面想搞技术分享会，每周五下午两个小时。;搞;一年下来是一百个工时乘以全组人数。;-5;8;;;;算了;那他们就自己在群里发链接。;;;;;
daily;d_hr_05;510;人事总监;;80;10;有人在匿名论坛发帖说我们加班严重。内容基本是真的。;不管;那帖子会一直挂在那儿。;;;;;;查是谁;查出来了怎么办。;;-12;;;
daily;d_hr_06;511;人事总监;;90;8;招聘要不要放宽学历要求。现在这个门槛，简历量少一半。;放宽;那筛选成本会上去。;-5;8;;;;不放;那就慢慢等。;;;;;
daily;d_hr_07;512;技术总监;;100;8;有个实习生写的东西比正式员工好。他明年毕业。;提前签;给多少。;-5;10;;;;等毕业;等到明年，他手上会有五个offer。;;;;;
daily;d_market_01;513;市场总监;;40;12;竞对昨天降价三成。我们跟不跟。;跟;那这个季度的利润就没了。;-12;;15;;;不跟;那客户会一个一个问我们为什么贵。;5;;-8;;
daily;d_market_02;514;市场总监;;50;12;有个头部博主要收费推我们。三十万一条，他有八百万粉。;投;转化率没人保证。;-12;;15;;;不投;那这三十万就还在账上。;;;;;
daily;d_market_03;515;大客户;;60;10;我们想要独家。作为交换，明年的量翻倍。;给;那你就是我们唯一的出口了。;12;;-10;;dealer_keep;不给;那量还是老样子。;;;;;
daily;d_market_04;516;客户;;70;10;你们的产品我们用了两年，有个功能一直没做。;做;那要占掉一个季度的排期。;;-5;12;;;不做;那我们就自己找人做个外挂。;;;;;
daily;d_market_05;517;市场总监;;80;10;要不要把价格提上去。我们现在是行业最低。;提;提价会掉一批客户。;12;;-10;;;不提;那我们永远是那个便宜的。;-5;;5;;
daily;d_capital_01;518;董事长;;40;12;有家基金想投钱。但以后大事，他们可以说“不”。;要钱;那以后大事你说了不算。;20;;;-12;;不要;那我们就自己撑。;;;;8;
daily;d_capital_02;519;投资人;;50;10;你们这个季度的数据，跟当初给我的计划差得有点远。;解释;市场变了。;;;;5;;认;那我下次投钱不好讲。;;;;-10;
daily;d_capital_03;520;董事长;;60;10;要不要给团队留一部分股份？老股东手里的份额会变少。;做;那所有老股东都要少一点。;;15;;-10;;不做;那核心的人拿什么留。;;-8;;5;
daily;d_capital_04;521;投资人;;70;10;我们想先卖掉手里的股份。你能帮我们找买家吗？;帮;那新进来的人是什么条件我们不知道。;;;;8;;不帮;那我们的关系就到这儿了。;;;;-10;
daily;d_capital_05;522;董事长;;80;8;有人想收购我们。出价是上次大家给公司算的价格的 1.2 倍。;谈谈;谈了就会传出去。;;-5;;8;;不谈;那这个价明年可能就没有了。;;;;;
daily;d_rival_01;523;市场总监;;50;12;竞对在挖我们的人。他们开的价我们跟不了。;涨薪留人;全组涨一遍是每年八百万。;-12;15;;;;不跟;那走几个算几个。;;-10;;;
daily;d_rival_02;524;技术总监;;60;10;对面新出的功能，跟我们内部的方案一模一样。可能有人泄露。;查;查内鬼会让所有人都不舒服。;;-10;5;;;不查;那下次还会有。;;;;;
daily;d_rival_03;525;市场总监;;70;10;有个竞对的销售总监想过来。他手上有客户名单。;要;那名单是他前公司的资产。;;;15;-5;-5;不要;那他会去别家。;;;;;
daily;d_rival_04;526;公关总监;;80;8;有人在写行业分析，把我们排在第四。要不要沟通一下。;沟通;沟通是要花钱的。;-5;;8;;;不沟通;那第四就第四。;;;;;
daily;d_legal_01;527;法务;;60;10;税务来查上两年的账。有几笔我们自己也说不太清。;主动补;补了大概两百万，加滞纳金。;-12;;;8;;等他们查;查出来是补缴加罚款，一倍到三倍。;;;;-12;
daily;d_legal_02;528;法务;;70;10;有个前员工起诉我们，说加班费没给。他有考勤记录。;和解;和解金大概十五万。;-5;5;;;;打;打赢了也是这个数，还多花律师费。;-8;-8;;;
daily;d_legal_03;529;法务;;80;8;有人先把我们的名字注册了。对方要八十万才肯转手。;买;八十万买回自己的名字。;-12;;5;;;不买;那我们要换个名字，或者打三年官司。;;;-10;;
daily;d_legal_04;530;法务;;90;8;新规来了，我们有两处不符合。改好要停业三周。;整改;三周没有收入。;-12;;;8;;拖;拖到被查，是停业加罚款。;;;;-12;
daily;d_ops_01;531;交付负责人;;50;12;这个月的交期又要延了。要不要跟客户说实话。;说;说了他们会扣款。;-5;;8;;;先不说;不说的话，到期那天更难看。;;;-10;;
daily;d_ops_02;532;技术总监;;60;10;系统有个老问题，彻底重做要三个月。不重做就继续修补。;重构;三个月不出新东西。;;8;-8;;;继续修补;那三年后这个系统没人敢碰。;;-5;5;;
daily;d_ops_03;533;交付负责人;;70;10;仓库租约到期了。续租涨三成，搬要停半个月。;续;涨的这部分一年是两百万。;-10;;5;;;搬;半个月发不出货。;5;;-10;;
daily;d_ops_04;534;技术总监;;80;8;要不要把服务器交给云服务商？每年多花钱，但不用自己养机房。;上;运维那两个人怎么办。;-8;-5;8;;;不上;那机房还得自己管。;;;;;
daily;d_office_01;535;人事总监;;60;10;要不要装工位监控。说是防泄密。;装;那大家都会知道自己被看着。;;-12;;8;;不装;那泄密的时候查不到。;;5;;;
daily;d_office_02;536;人事总监;;70;10;有人提议把周报改成双周报。说写周报的时间比干活多。;改;那我下周就少看一半东西。;;10;;-5;;不改;那他们就继续写。;;;;;
daily;d_office_03;537;人事总监;;80;10;办公室的咖啡机坏了。修要三千，换要一万二。;换;一万二能买不少人心。;-5;8;;;;修;修好了还能用两年。;;;;;
daily;d_pub_01;538;公关总监;;60;10;有个行业峰会请你做主题演讲。同台的是三个上市公司老板。;去;讲什么呢。;;;8;5;;不去;那位置会给竞对。;;;-5;;
daily;d_pub_02;539;记者;;70;10;我们想做一篇创业故事。会问到早期的一些事。;接受;哪些事。;;;8;;;不接受;那我们就写公开资料。;;;;;
daily;d_pub_03;540;公关总监;;80;8;你上次那条微博有句话被截出来了。现在有两万转发。;删;删了会被说心虚。;;;-5;;;不删;那就让它挂着。;;-5;5;;
daily;d_pub_04;541;公关总监;;90;8;有个奖项可以买，二十万。放在官网上挺好看。;买;买了没人会知道是买的。;-5;;8;;;不买;那官网上就没有奖。;;;;;
daily;d_ind_01;542;市场总监;;80;10;同行有家公司倒了。他们的客户现在到处在问。;去接;那些客户是他们没伺候好的。;;-5;12;;;不接;那就让别人接。;;;;;
daily;d_ind_02;543;人事总监;;90;10;那家倒掉的公司，有二十几个人在投我们。;招;里面有几个不错的。;-8;12;;;;不招;那我们就错过一批便宜的人。;;;;;
daily;d_ind_03;544;技术总监;;100;8;行业里在传一个新技术。跟不跟，现在看不清。;投人进去;投了可能是白投。;-10;;10;;;观望;观望到看清的时候，就晚了。;;;-5;;
daily;d_person_01;545;;;60;10;今天是我女儿的家长会。同时是季度董事会。;去家长会;董事会推到下周。;;5;;-5;;去董事会;她说没关系。;;;;;
daily;d_person_02;546;;;70;10;体检报告出来了，几项指标不太好。医生建议休一个月。;休;公司一个月没人管。;;5;;-5;;不休;那就先这样。;;;;;
daily;d_person_03;547;;;80;10;老朋友借钱，二十万。他说三个月还。;借;这是我自己的钱。;;;;;;不借;那这个朋友大概就没了。;;;;;
daily;d_person_04;548;;;90;8;有人问我，做这个到底是为了什么。我一时没答上来。;为了钱;至少是实话。;;;;;;为了做成一件事;那件事是什么，我也说不清了。;;;;;
daily;d_dyn_01;549;人事总监;turn>12;100;20;老员工在议论，说这家公司已经换过好几个 CEO。;开个会;说什么。;;8;;;;不理;那他们就自己猜。;;-5;;;
daily;d_dyn_02;550;董事长;turn>24;120;20;你在这个位置多久了？我都快记不清了。;继续做;那就把结果做出来。;;;;;;歇一歇;董事会会把你的空档记下来。;;;;;
daily;d_dyn_03;551;;turn>54;150;25;仓库最里面有个箱子，是创始团队的东西。要不要清掉。;留着;放着占地方。;;5;;;;清掉;那就没人记得了。;;-5;;;
daily;d_legacy_01;552;财务总监;debt_keep;60;25;上一任借的那笔钱，这个月要还了。;还;账上会空一半。;-20;;;8;;再借;那就是借新还旧。;10;;;-12;
daily;d_legacy_02;553;人事总监;nb_lost_tech>0;80;25;上次走掉那批技术，现在在对手公司做一模一样的产品。;认了;那是我们自己没留住。;;;-5;;;招回来;开双倍的价，有两个愿意回。;-12;12;;;
daily;d_legacy_03;554;公关总监;lie_keep;100;25;上一任在董事会上说过的数字，现在对不上了。;说清;那要承认之前有问题。;;5;;-8;;继续圆;圆一次要圆一辈子。;;;;-5;
daily;d_legacy_04;555;董事长;betray_keep;120;25;那个替你背锅的人，他家里人上周来公司了。;见;她说不是来闹的，是想问个明白。;;8;;;;不见;那她就在楼下等。;;-12;;;
daily;d_legacy_05;556;法务;public_keep;80;20;上市公司有一条信息必须公开。现在要不要报？报了股价会动。;报;规则就是规则。;;;-5;8;;不报;不报就是违规。;;;;-15;
daily;d_good_01;557;技术总监;;100;10;那个项目做完了。团队想申请三天假。;批;三天没人干活。;;12;-5;;;不批;后面还有排期。;;-8;;;
daily;d_good_02;558;大客户;;110;10;这单我们提前付款，你给个折扣就行。;给;现金提前到账。;12;;-5;;;不给;那我们按合同走。;;;;;
daily;d_good_03;559;市场总监;;120;10;有个小客户，量很小，但一直在续。今年他们要涨量了。;重视;小客户变大客户就是这么来的。;;;12;;;按老样子;那也没什么损失。;;;;;
daily;d_win_01;560;财务总监;;90;12;这个季度超了预算目标百分之十八。要不要报给董事会。;报;数字好看的时候就该让他们看见。;;;;10;;先压着;压着干什么，等下个季度差了一起报？;5;;;-5;
daily;d_win_02;561;市场总监;;100;12;那个大单签了。三年期，年付。;庆祝一下;应该的。;-5;10;;5;;继续干;下一个单子已经在谈了。;;;5;5;
daily;d_win_03;562;投资人;;110;12;你们上季度的数据我看了。下一轮我们想加注。;要;估值可以谈得比上次好。;15;;;12;;暂时不要;不要钱的公司，投资人反而更想投。;;;;8;
daily;d_win_04;563;技术总监;;100;12;那个功能上线了。用户自发在社区里写了长评。;转出去;那是最好的广告，还不要钱。;;5;12;;;不声张;做产品的人自己知道就够了。;;8;;;
daily;d_win_05;564;董事长;;120;12;有家上市公司想跟我们战略合作。他们出钱出渠道。;合作;那我们要让出一部分决策权。;12;;12;-8;;自己做;那就慢一点，但都是自己的。;;5;;5;
daily;d_win_06;565;人事总监;;110;12;今年一个核心的都没走。这在我们这行不常见。;发奖金;那是应该的。;-8;15;;;;写进汇报;董事会喜欢看这个。;;5;;8;
daily;d_win_07;566;财务总监;;130;10;应收账款收回来了，比预计的快两个月。;补研发;那笔钱正好够。;-5;5;8;;;放着;放着心里踏实。;10;;;5;
daily;d_win_08;567;市场总监;;120;10;有个客户主动帮我们介绍了三家同行。;谢谢他;要不要给点返点。;-5;;12;;;记着;这种客户以后要重点伺候。;;;8;;
daily;d_win_09;568;董事长;;140;10;董事会一致通过了你的年度方案。这是第一次。;不容易;是你这一年做出来的。;;5;;12;;应该的;别太得意。下一年更难。;;;;8;
daily;d_win_10;569;技术总监;;130;10;那个老系统重构完了。比预计早了三周。;放假;三周的假，团队值得。;;12;-5;;;接下一个;那他们大概会有点意见。;;-5;8;5;
daily;d_grow_01;570;市场总监;;80;14;渠道那边说，再投一笔就能进两百家门店。;投;那是今年的市场预算全部。;-12;;18;;;不投;那就守着现在这些。;;;;;
daily;d_grow_02;571;市场总监;;90;14;有个新平台在招首批商家，免佣半年。;上;要抽两个人过去做。;;-5;15;;;不上;等它做起来了，位置就没了。;;;-5;;
daily;d_grow_03;572;技术总监;;100;14;把产品拆一个免费版出去，能拉一批新用户。;拆;免费的会吃掉一部分付费的。;-5;;18;;;不拆;那增长就还是靠销售一家一家跑。;;;;;
daily;d_grow_04;573;市场总监;;110;14;老客户里有六成没用过我们的新功能。;做个推广;成本不高，见效快。;-5;;12;;;算了;那他们续约的时候可能就走了。;;;-8;;
daily;d_grow_05;574;客户;;90;14;我们想把你们介绍给集团其他三家子公司。;当然好;那要专门配一个团队。;-8;-5;20;;;先不了;那这条线就断了。;;;-5;;
daily;d_cap_01;575;董事长;capital>60;100;14;董事会想让你去做行业协会的理事。露脸的事。;去;那要占掉不少时间。;;-5;5;12;;不去;那位置会给别人。;;;;-5;
daily;d_cap_02;576;投资人;capital>65;110;14;我们想把你介绍给几个 LP。他们管的钱比我们多。;见;见了就是要讲故事。;;;;15;;不见;那这层关系就搭不起来。;;;;;
daily;d_cap_03;577;董事长;capital>70;120;14;有几家投行开始主动联系我们了。要不要接触一下。;接触;接触了就是往上市走。;;;;15;ipo_ready_keep;还早;那就等你觉得不早的时候。;;;;;
daily;d_cap_04;578;董事长;capital>75 and ipo_ready_keep;130;16;董事会想正式启动上市。你怎么看。;启动;那从今天起一切都要按公开公司的标准。;;-5;;18;;再等等;窗口期不等人。;;;;-8;
daily;d_cap_05;579;投资人;capital>80;140;16;所有股东都签了。就等你了。;签;签完就没有回头路。;;;;15;;不签;那你要跟每个股东单独解释一遍。;;;;-12;
