thematic;card;id;bearer;conditions;lockturn;weight;question;override_yes;answer_yes;yes_money;yes_team;yes_market;yes_mind;yes_custom;override_no;answer_no;no_money;no_team;no_market;no_mind;no_custom
opening;first_move;1;财务总监;turn=1;del;900000;大厂开价三亿，今晚要答复。;拒绝，扩产;对手转身降价，工厂开始加班。;-12;4;15;4;independent_run and founder_run;签框架;钱还没到账，品牌先归他。;18;-3;-5;-2;deal_run and founder_run
payoff;deal_follow;2;大厂法务;deal_run and age_founder>=2;del;3200;他们肯加价，但要你删掉主力款。;保产品，谈渠道;合同没签，采购总监先来加你。;-6;2;13;6;deal_channel_run and deal_done_run;换现金;你拿到钱，也交出最好卖的货。;22;-4;-15;-3;deal_cash_run and deal_done_run
payoff;capacity_follow;3;厂长;independent_run and age_founder>=2;del;3200;拒绝大厂后，订单多到排不下。;借线抢单;产能上来了，供应商要预付款。;-8;-8;17;-3;delivery_run and capacity_done_run and capacity_run;先交老客;销量慢一点，老客介绍来同行。;10;-2;12;5;capacity_safe_run and capacity_done_run and capacity_run
pressure;delivery_crisis;4;厂长;delivery_run and age_capacity>=3;del;2800;你答应的货，还差一周才出厂。;借线硬做;你借来产线，利息也一起借来。;-14;7;9;-5;debt_run and delivery_done_run;分批交;客户先收一半，尾款没扣。;10;-5;5;2;delivery_done_run
initiative;conference;5;行业协会秘书长;founder_run and turn>=4 and !conference_run;del;2400;渠道商约你吃饭，对手也在桌上。;先聊售后;他不买广告，只问能不能退货。;-5;5;12;7;conference_deal_run and conference_run;先聊价格;你报得不低，他却带走试销单。;-3;3;15;3;conference_show_run and conference_run
payoff;conference_show_payoff;6;连锁采购;conference_show_run and age_conference>=2;del;2600;你报得不低，他要看你能否交货。;先谈独家;独家签了，渠道也被锁住了。;21;-3;9;-4;exclusive_run and conference_done_run;先看样机;样机过检，试销单进了系统。;16;4;12;3;conference_win_run and conference_done_run
payoff;conference_deal_payoff;7;连锁采购;conference_deal_run and age_conference>=2;del;2600;他愿意试销，但要你先垫货。;我先压库存;首批交了，第二批要加价。;-13;-4;15;-4;inventory_run and conference_done_run;不垫，先收钱;他走了，下午又打回来。;12;;4;3;conference_win_run and conference_done_run
initiative;rival_price;8;销售总监;founder_run and turn>=5 and !price_war_run and !premium_run;del;2500;对手把你的爆款拆开，价格砍了一半。;保服务提价格;老客户没走，新客户在比较。;12;5;8;5;premium_run;跟到最低;他先没现金，你先没利润。;-9;2;16;-2;price_war_run
payoff;price_counter;9;对手渠道商;price_war_run and age_price_war>=3;del;2700;对手没钱发货，渠道想改卖你的。;自己开店;利润留下，库存也留下。;-8;7;14;4;direct_run and price_done_run;带预付款来;钱到账，货架换了招牌。;22;;11;2;channel_win_run and price_done_run
payoff;premium_counter;10;老客户;premium_run and age_premium>=3;del;2700;你没跟着降价，客户要一份更硬的保证。;给服务定价;有人嫌贵，核心客户留下。;19;-2;9;-3;service_fee_run and premium_done_run;延长保修;保修变长，续单也变长。;-7;6;16;3;warranty_run and premium_done_run
